date,open,high,low,close,volume
18-06-2012,32.032,32.780,31.147,32.731,11447981
08-06-2012,31.088,32.387,30.940,32.131,11541400
04-06-2012,30.999,32.052,30.340,30.379,14671523
28-05-2012,30.812,31.255,30.064,31.137,20714067
21-05-2012,32.328,32.406,30.192,30.497,14506233
14-05-2012,34.247,34.335,32.446,32.958,12999652
07-05-2012,35.477,36.313,33.804,33.951,15437093
30-04-2012,34.434,34.542,33.794,34.365,9771346
23-04-2012,33.656,34.650,33.361,34.404,8447460
16-04-2012,34.257,34.345,33.371,33.656,12119771
05-04-2012,34.837,34.945,33.991,34.621,5336664
02-04-2012,35.034,35.300,34.060,34.798,18246280
26-03-2012,34.788,35.231,34.148,34.571,12167445
19-03-2012,35.457,35.624,34.257,34.414,13794749
12-03-2012,35.310,35.969,34.217,35.290,17251340
05-03-2012,36.638,36.973,35.349,35.457,16869100
27-02-2012,34.916,37.553,34.640,36.569,27203455
20-02-2012,35.014,35.083,33.951,34.945,8675416
13-02-2012,34.001,35.201,33.814,35.014,11352683
06-02-2012,33.942,34.148,33.312,33.863,10704544
30-01-2012,33.351,34.237,33.194,33.814,11339761
23-01-2012,32.741,34.247,32.652,33.164,12547232
16-01-2012,30.596,32.554,30.586,32.485,10232317
09-01-2012,30.576,31.245,30.064,30.478,8615133
30-12-2011,31.107,31.275,30.035,30.133,3115351
23-12-2011,29.759,31.039,29.523,31.029,13150886
19-12-2011,31.216,31.285,29.730,29.759,15788245
12-12-2011,33.656,33.853,31.196,31.855,15006709
05-12-2011,32.101,33.951,32.013,33.646,21541606
28-11-2011,34.316,35.132,31.639,32.082,28643759
21-11-2011,35.920,36.254,34.010,34.768,12455121
14-11-2011,35.920,36.461,34.621,36.018,9939370
07-11-2011,35.536,36.746,35.014,35.526,11590131
31-10-2011,34.040,36.392,33.233,35.979,16308168
24-10-2011,34.394,34.837,32.672,34.040,11658304
17-10-2011,35.182,35.408,34.257,34.808,9870609
10-10-2011,30.881,35.270,30.704,34.985,15145093
03-10-2011,30.153,32.269,29.454,31.117,30660463
26-09-2011,32.869,33.489,29.287,29.326,20594581
19-09-2011,32.328,33.804,31.737,32.869,19214844
12-09-2011,32.643,34.148,31.914,32.052,18004886
05-09-2011,35.457,35.546,33.125,33.312,23132905
29-08-2011,34.316,35.861,34.001,35.310,21162672
22-08-2011,37.878,37.888,33.902,33.981,21517549
15-08-2011,31.658,38.085,30.045,37.740,23742311
08-08-2011,38.095,38.095,33.263,33.272,21226933
01-08-2011,38.547,39.320,37.652,38.281,14950662
25-07-2011,37.770,39.718,37.573,38.232,14172368
18-07-2011,39.177,39.758,37.563,37.642,13769206
11-07-2011,40.447,40.643,39.364,39.502,15930143
04-07-2011,39.708,40.683,38.872,40.368,12468242
27-06-2011,40.102,40.860,39.020,39.325,22165985
20-06-2011,42.562,43.172,39.236,39.275,21388622
10-06-2011,44.353,44.550,42.572,42.858,13260771
06-06-2011,45.613,46.007,44.599,44.865,9354023
30-05-2011,44.432,45.456,44.088,45.239,12716110
23-05-2011,43.792,45.269,43.517,44.511,10662706
16-05-2011,45.662,45.662,43.724,43.763,9641420
09-05-2011,45.554,45.662,43.665,45.121,11934136
02-05-2011,47.040,47.148,45.190,45.593,14732739
21-04-2011,45.761,47.119,45.121,47.099,6810831
18-04-2011,46.991,47.434,45.298,46.026,12924654
11-04-2011,47.237,50.041,46.036,47.394,17342676
04-04-2011,46.558,47.621,45.662,46.951,19880539
28-03-2011,44.777,47.345,43.812,46.351,33935689
21-03-2011,41.263,44.580,40.171,44.481,35484311
14-03-2011,41.431,42.169,40.653,41.529,16795071
07-03-2011,42.218,42.926,41.539,41.746,16202062
28-02-2011,42.070,42.484,40.899,41.903,19496126
21-02-2011,41.765,42.612,41.588,41.903,8540435
14-02-2011,42.021,42.031,41.529,41.883,7799005
07-02-2011,41.480,42.119,41.253,41.873,10268739
31-01-2011,41.962,42.287,40.870,40.978,10803253
24-01-2011,42.277,42.700,41.647,41.844,10560043
17-01-2011,42.316,43.104,42.149,42.287,10400713
10-01-2011,42.208,42.513,41.539,42.306,9236522
